job_item_name,job_item_comapny,job_item_area,job_item_experience,job_item_degree,job_item_salary,job_item_description
電子商務技術主任,澤瑞實業有限公司,台北市信義區,經歷不拘,大學,待遇面議,"四年以上相關經驗，包含電商平台導入與維護 1. 熟悉PHP,MVC 相關程式架構 2. 負責接收專案需求、流程設計處理、系統實作 3. 負責軟體的測試與修改 4. 熟悉電商開發流程"
SD1-多媒體系統軟體工程師_Multimedia SDK Engineer [Hsinchu],多方科技股份有限公司,新竹市,經歷不拘,大學,待遇面議,"網路攝影機及相關產品的 SDK 設計、開發和驗證： 1、了解 Linux 系統架構 2、設計 Video / Audio SDK 相關 APIs 3、實做 Video / Audio SDK 相關程式庫 4、系統效能分析和最佳化 必須條件 (Minimum Qualifications)： 1、電機、資訊相關科系，學士或碩士畢業 2、熟悉 C 語言 3、具有獨立思考的能力，並習慣與團隊合作解決問題 4、高度的學習動機、願意投入精力分析和解決問題 優秀條件 (Preferred Qualifications)：. 1、具有二到四年 Linux 開發經驗 (User-space programming, Multi-thread programming) 2、熟悉一或多套 OpenSource Audio/Video Framework 及其 APIs (V4L2, gstreamer, ALSA, ...) 3、熟悉 Python 語言 4、熟悉單元測試 5、有多媒體相關的程式或專案開發經驗 6、有版本控制系統 (Git or GitHub) 進行開發的經驗"
雲端資訊工程師【BenQ資訊技術服務中心】,明基電通股份有限公司,台北市內湖區,2年以上,大學,待遇面議,1. 熟悉Hyper-V或VMware 等虛擬化系統管理 2. 熟悉 公有雲服務 管理 ※ 此職缺將依據學經歷與年資核定薪資
【金融科技】信用卡處-系統分析師(經驗行員),玉山銀行_玉山商業銀行股份有限公司,新北市三重區,5年以上,大學,待遇面議,1.蒐集並釐清專案需求、進行系統分析設計並提供解決方案 2.梳理使用者需求內容，進行系統或線上問題分析與討論 3.依據BA文件及需求訪談會議紀錄進行系統分析設計，並與系統設計師溝通系統分析規格 4.產製SA系統分析文件、使用案例、功能規格設計文件 ★僅限官網投遞★ 104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！ 【網址：https://esnhr.pse.is/394b2n 】
軟體工程師Build Windows Image engineer,攸泰科技股份有限公司,台北市內湖區,3年以上,大學,待遇面議,"Windows OS image build : i. Familiar with Windows 7, Windows 10 IOT OS image build ii. Familiar with Windows driver installation."
專案全端工程師（偏前端）React & Python,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,台北市信義區,2年以上,大學,待遇面議,"CloudMile是一支年輕的創業團隊，也是亞洲領先的企業級人工智能，雲和安全技術解決方案提供商，為Google第一個獲得北亞基礎設施和機器學習專業知識的首要合作夥伴，歡迎渴望國際級舞台的你加入我們的行列！ 我們相信，喜愛自己的工作是進步的最好方式， 您傾注熱情在前端開發的專業上， 我們提供您國際化的發展舞台。 我們尊重每一位同仁的專業， 也希望您樂於和同仁分享專業， 重要的是：您可以對自己參與專案感到驕傲！ 職務內容： - 與後端工程師和合作參與專案 - 與機器學習工程師和雲端工程師合作導入企業專案 必備技能/條件： - 2 年以上的前端工程師經驗 - 具有JavaScript，ReactJs，MaterialUI和Bootstrap的經驗 - 精通網頁標記(Web Markup),包含HTML5, CSS3 - 具備Git相關經驗 加分項目： - 具備Python後端程式開發經驗 - 具備Jest的實務經驗 - 具備串接 RESTful API的實務經驗 - 具備CI / CD的相關知識 - 具備node.js, websocket, OAuth和 jwt的相關知識"
【知名外商軟體公司】Portable Security 軟體測試工讀生,怡東人事顧問股份有限公司,台北市大安區,經歷不拘,大學,待遇面議,*此為派遣性質工作，可接受者再投遞* 【職務說明】 此職務提供一個讓在校學生可以做中學，學中做的工讀機會。只要你是大三以上學生，具有資訊相關背景，對軟體開發與測試有興趣，歡迎您一同加入我們的行列。在這裏，你不但有機會可以學習到目前最新最酷的技術，並與一流的工程師一起為產品的品質把關，更重要的是你可以全程參與產品開發流程，進而了解一間跨國際的軟體公司是如何打造出世界級的資訊安全產品。 【工作內容】 1. 協助軟體工程師開發測試工具 2. 協助軟體工程師進行自動化測試 3. 協助建立測試案例並執行測試 【相關需求】 1. 大三以上或研究所學生，具資訊相關領域背景 2. 熟悉至少一種程式語言，如Python或Shell Script 3. 具Windows及Linux或Unix系統使用經驗 4. 每週能工作20小時以上 5. 有GUI開發/測試經驗者尤佳
PHP軟體工程師【BenQ資訊技術服務中心】,明基電通股份有限公司,台北市內湖區,1年以上,大學,待遇面議,"1. 公司品牌電商專案開發與維護 2. 電子商務系統開發並與官網整合串接 3. 第3方系統/服務研究, 與第3方系統/服務進行整合建置, 以優化使用者整體系統體驗 4. 系統效能及安全性優化 5. 根據PM工作排程, 進行專案項目開發"
"【金融科技】Developer, ML Service Platform",玉山銀行_玉山商業銀行股份有限公司,台北市松山區,經歷不拘,碩士,待遇面議,1.打造機學習平台及系統軟體框架，將機器學習服務建構在分散式系統及微服務系統(Kubernetes)之上 2.參與機器學習專案開發、資料特徵工程、規劃設計次世代機器學習平台發展與藍圖等任務 3.具備金融/金流/支付相關知識和興趣，且有專案管理及良好溝通協作能力 104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！ 【網址：https://esnhr.pse.is/394b2n 】
,,None,None,None,待遇面議,None
